Expandable Memory Type,Secondary Camera Resolution,Charging Type,SIM Count,Secondary Camera,RAM Size,Battery Size,Internal Memory,Version,Screen Size,SIM Type,Display Resolution,Colour Name,Display Type,Display Resolution Type,Operating System Version,Operating System,Voice Calling Capability,Fast Charging,Network Frequency Band,Processor Name,Number of Cores,Primary Camera Feature,Flash,Model Year,Network Type,Condition,Model Number,Model Name,Primary Camera (MP),Title,Price,Brand,Rating,Product Image,Product Link,Processor Speed,Product Weight,Operating System Number,Processor Number,What's In The Box,Glass Technology,Video Recording Resolution Type,Water/Dust Properties,Finish,Product Length,Product Height,Product Width/Depth,Maximum Expandable Memory,Refresh Rates,Sensor,Camera Type,Battery Type,Pixels Per Inch,Network,Audio Jack,Wireless
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.78 in,Nano SIM,1284x2778,Moonlight White,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,"5109BFWE, ELP-NX9",HONOR 200 Pro,50+50+12 Mp,200 Pro 5G Dual SIM Moon Light White 12GB RAM + 512GB - Middle East Version,EGP 29999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091785V/45/_/1720687160/8bb06ead-2f40-4675-9e7c-3bbabd3e4b3a.jpg', 'https://f.nooncdn.com/p/pnsku/N70091787V/45/_/1720687168/3c0d5687-c5c3-47eb-99b9-2ccdc42b96d7.jpg', 'https://f.nooncdn.com/p/pnsku/N70091786V/45/_/1720687158/d18e377d-e130-4654-9ea2-2177a0f1c995.jpg']",https://www.noon.com/egypt-en/200-pro-5g-dual-sim-moon-light-white-12gb-ram-512gb-middle-east-version/N70091787V/p/?o=d0a031108316558e,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Flowing Silver,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Flowing Silver, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-flowing-silver-with-honor-x6-earbuds-white/N70070456V/p/?o=cd9c76eff4ef546b,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.7 in,Nano SIM,1284x2778,Emerald Green,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,"5109BFRH, ELI-NX9",HONOR 200,50+50+12 Mp,200 5G Dual SIM Emerald Green 12GB RAM + 512GB - Middle East Version,EGP 23999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091784V/45/_/1720705850/7ea1f2dc-3af4-4df9-b922-8d8cea3c1650.jpg', 'https://f.nooncdn.com/p/pnsku/N70091759V/45/_/1720705289/d6e81528-749e-4a49-8d40-ad08a34fbd6b.jpg', 'https://f.nooncdn.com/p/pnsku/N70091758V/45/_/1720705248/38f31355-99d7-4bc0-a78d-e688be2ceaf4.jpg']",https://www.noon.com/egypt-en/200-5g-dual-sim-emerald-green-12gb-ram-512gb-middle-east-version/N70091759V/p/?o=de2d311a05b6daea,,,,,,,,,,,,,,,,,,,,,
MicroSD,,Type-C,Dual SIM,,6 GB,5000 mAh,128 GB,Middle East Version,6.7 in,Nano SIM,,black,,,,Android,,,,,,,,,4G,New,Galaxy A05s with samsung adapter,Galaxy A05s with samsung adapter,,Galaxy A05s Dual SIM Black 6GB RAM 128GB 4G LTE - Middle East Version with a free gift 25W Adapter USB-C Super Fast Charging Travel Adapter (EU Plug),EGP 6666.00 Inclusive of VAT,Samsung,N/A,[],https://www.noon.com/egypt-en/galaxy-a05s-dual-sim-black-6gb-ram-128gb-4g-lte-middle-east-version-with-a-free-gift-25w-adapter-usb-c-super-fast-charging-travel-adapter-eu-plug/N70112942V/p/?o=fb4f4c3a2f9fb57f,,,,,,,,,,,,,,,,,,,,,
,16 MP,Type-C,Dual SIM,16 - 31.9 MP,12 GB,5000 mAh,512 GB,International Version,6.67 in,Nano SIM,1080x2400,Pioneer Green,AMOLED,,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,MediaTek Dimensity,Octa Core,Triple,,2024,5G,New,RMX3867,realme 12+ 5G,50+8+2M,12+ 5G Dual SIM Pioneer Green 12GB RAM 512GB - International Version,EGP 15245.00 Inclusive of VAT,realme,4.8,"['https://f.nooncdn.com/p/pnsku/N70059181V/45/_/1711695652/3f3d4b9f-227c-4263-9dd0-a792c8ff25dc.jpg', 'https://f.nooncdn.com/p/pnsku/N70059180V/45/_/1711695650/7e5d05ff-d0ac-4953-8e21-915aa3feb4ec.jpg']",https://www.noon.com/egypt-en/12-5g-dual-sim-pioneer-green-12gb-ram-512gb-international-version/N70059180V/p/?o=fdf14fa89810e8cd,,190 g,Realme UI 5.0,7050,"Handset,Adapter,USB cable,Quick guide,Warranty card",,,,,163 mm,7.9 mm,75.5 mm,,,"Accelerometer, gyroscope, Proximity Sensors",,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM 6GB RAM 256GB 4G - Midnight Black, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,5.0,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-midnight-black-with-honor-x6-earbuds-white/N70070455V/p/?o=acec4395fb86acad,,,,,,,,,,,,,,,,,,,,,
,,,Dual SIM,,6 GB,6000 mAh,256 GB,Middle East Version,6.8 in,Nano SIM,,Emerald Green,,,,,,,,,,,,,,New,CLK - LX2,X7b,,"X7b Dual SIM  6GB RAM 256GB 4G - Emerald Green, With Honor X6 Earbuds - White",EGP 9650.00 Inclusive of VAT,Honor,4.5,"['https://f.nooncdn.com/p/pnsku/N70070457V/45/_/1715139127/834919ba-44a1-466e-bbb7-4fe8dbf8a2ae.jpg', 'https://f.nooncdn.com/p/pnsku/N70070456V/45/_/1715139123/ba9199a8-1d9c-4ba0-8c84-3022c2f63ca3.jpg', 'https://f.nooncdn.com/p/pnsku/N70070455V/45/_/1715139117/3a0372d7-bfdc-4176-84df-dcd7303dad0d.jpg']",https://www.noon.com/egypt-en/x7b-dual-sim-6gb-ram-256gb-4g-emerald-green-with-honor-x6-earbuds-white/N70070457V/p/?o=be0b92ad992f323a,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,50 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5200 mAh,512 GB,Middle East Version,6.78 in,Nano SIM,1284x2778,Ocean Cyan,OLED,FHD+,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,5109BFWC / ELP-NX9,HONOR 200 Pro,50+50+12 Mp,200 Pro 5G Dual SIM Ocean Cyan 12GB RAM + 512GB - Middle East Version,EGP 35999.00 Inclusive of VAT,Honor,N/A,"['https://f.nooncdn.com/p/pnsku/N70091785V/45/_/1720687160/8bb06ead-2f40-4675-9e7c-3bbabd3e4b3a.jpg', 'https://f.nooncdn.com/p/pnsku/N70091787V/45/_/1720687168/3c0d5687-c5c3-47eb-99b9-2ccdc42b96d7.jpg', 'https://f.nooncdn.com/p/pnsku/N70091786V/45/_/1720687158/d18e377d-e130-4654-9ea2-2177a0f1c995.jpg']",https://www.noon.com/egypt-en/200-pro-5g-dual-sim-ocean-cyan-12gb-ram-512gb-middle-east-version/N70091786V/p/?o=b0f742f4bb4107af,,,,,,,,,,,,,,,,,,,,,
,,Micro USB,Single SIM,,16 GB,800 mAh,16 GB,Middle East Version,1.8 in,Normal SIM,,Black,,,,,,,,,,,,,,,105,,,Mobile 105 Black 4G,EGP 488.00 Inclusive of VAT,NOKIA,3.5,[],https://www.noon.com/egypt-en/mobile-105-black-4g/N70032875V/p/?o=a681ee499ae710ba,,,,,,,,,,,,,,,,No Camera,,,,,
No Expandable Memory,12 MP,Type-C,Dual SIM,12 - 15.9 MP,8 GB,4676 mAh,256 GB,Middle East Version,6.9 in,Nano + eSIM,,Natural Titanium,OLED,,iOS 18,iOS,Yes,Yes,,,Hexa Core,Triple,Dual Tone flash,2024,5G,New,"MYWK3AE/A , MYWK3AH/A",iPhone 16 Pro Max,48+48+12,iPhone 16 Pro Max 256GB Natural Titanium 5G With FaceTime - Middle East Version,EGP 80999.00 Inclusive of VAT,Apple,4.7,"['https://f.nooncdn.com/p/pnsku/N70105591V/45/_/1726043597/8211f8d6-03c7-4f76-a29d-c93ef0d026af.jpg', 'https://f.nooncdn.com/p/pnsku/N70105592V/45/_/1726043633/aa2f8393-ed30-467b-b456-c8b10fad6e8f.jpg', 'https://f.nooncdn.com/p/pnsku/N70105590V/45/_/1726043608/b96466e2-9d2c-4cf5-b6a8-e589883e94c3.jpg', 'https://f.nooncdn.com/p/pnsku/N70105588V/45/_/1725963921/25404746-163f-495d-b705-984c3a2890f8.jpg']",https://www.noon.com/egypt-en/iphone-16-pro-max-256gb-natural-titanium-5g-with-facetime-middle-east-version/N70105590V/p/?o=cccda3ef763c5abf,,227 g,,A18 Pro,,,,,,77.6 mm,163 mm,8.3 mm,,120Hz,,,,,,,
,,,Dual SIM,,8 GB,4500 mAh,512 GB,Middle East Version,6.7 in,Nano SIM,,Midnight Black,,,,,,,,,,,,,,New,LLY-LX2,X8b,,"X8b Dual SIM Midnight Black 8GB RAM, 512GB, 4G LTE With Honor Earbuds X6",EGP 12399.00 Inclusive of VAT,Honor,4.5,[],https://www.noon.com/egypt-en/x8b-dual-sim-midnight-black-8gb-ram-512gb-4g-lte-with-honor-earbuds-x6/N70068554V/p/?o=fbc981f0299c9cfd,,,,,,,,,,,,,,,,,,,,,
,8 MP,Type-C,Dual SIM,8 - 11.9 MP,8 GB,5000 mAh,256 GB,Middle East Version,6.67 in,Nano SIM,,Starlight Gold,LCD,,Android 14,Android,Yes,,,MediaTek Helio,Octa Core,,,2024,4G,New,C65,C65,50+2MP,C65 Dual SIM Starlight Gold 8GB RAM 256GB 4G - Middle East Version,EGP 7390.00 Inclusive of VAT,realme,4.4,"['https://f.nooncdn.com/p/pnsku/N70071975V/45/_/1718095748/d485757b-07c0-4446-a40f-3c05d93af467.jpg', 'https://f.nooncdn.com/p/pnsku/N70071976V/45/_/1718095766/93943f5d-34ca-4259-b4cd-cfbe9da7bf06.jpg']",https://www.noon.com/egypt-en/c65-dual-sim-starlight-gold-8gb-ram-256gb-4g-middle-east-version/N70071976V/p/?o=e526ee50082facfe,2 GHz,,14,MTK G85,,,,,,,,,,,,,,,,,
MicroSD,13 MP,Type-C,Dual SIM,12 - 15.9 MP,6 GB,5000 mAh,128 GB,Middle East Version,6.5 in,Nano SIM,,Light Blue,,,,Android,,,GSM,,,Triple,,2023,5G,New,SM-A256ELBDMEA,BSM-A256E/1D6N,50+8+2,Galaxy A25 Dual Sim Light Blue 6GB RAM 128GB 5G - Middle East Version,EGP 8950.00 Inclusive of VAT,Samsung,4.4,"['https://f.nooncdn.com/p/pnsku/N70029755V/45/_/1719916971/c76b358e-1017-434d-91cf-4b4725df5225.jpg', 'https://f.nooncdn.com/p/pnsku/N70029756V/45/_/1714662325/7446de75-b611-4d40-9186-51ad5a9676a8.jpg', 'https://f.nooncdn.com/p/pnsku/N70029757V/45/_/1703143839/d3ef72b4-0629-49f2-a972-50026e651f56.jpg']",https://www.noon.com/egypt-en/galaxy-a25-dual-sim-light-blue-6gb-ram-128gb-5g-middle-east-version/N70029756V/p/?o=a5d36edd093f3a2f,,,,,"USB-C Type Cable, SIM Tray Ejector, Quick Start Guide",,,,,,,,1 TB,120Hz,,,,,,,
,2 MP,Type-C,Dual SIM,Upto 4.9 MP,2 GB,4000 mAh,32 GB,,6.6 in,,720x1600,Maroon red,HD,HD+,Android 12,Android,,,,,,Dual,LED,,,New,,,13,"A10s Dual sim, 6.6 inch, 2GB RAM , 32GB ROM, 4G - Maroon Red",EGP 2649.00 Inclusive of VAT,IKU,N/A,[],https://www.noon.com/egypt-en/a10s-dual-sim-6-6-inch-2gb-ram-32gb-rom-4g-maroon-red/Z9C499DA3ADEE5B474533Z/p/?o=z9c499da3adee5b474533z-1,,,,,,,,,Aluminium,,,,,,,,,,,,4G/3G/Wireless/Bluetooth
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,6 GB,5000 mAh,128 GB,International Version,6.74 in,Nano SIM,1080x2408,Champion Gold/Dorado,IPS LCD,FHD+,,Android,Yes,Yes,,,Single Core,Triple,LED,2023,4G,New,"realmeC53, RMX3760",C53,,C53 Dual SIM ChampionGold/Dorado 6GB 128GB 4G LTE - International Version,EGP 6150.00 Inclusive of VAT,realme,4.3,[],https://www.noon.com/egypt-en/c53-dual-sim-championgold-dorado-6gb-128gb-4g-lte-international-version/N70018231V/p/?o=c5182bf0d6d2f50e,1.82 GHz,,13,T612,,,1080p,,,167.26 mm,76.67 mm,7.49 mm,1 TB,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,8 GB,5000 mAh,128 GB,International Version,6.79 in,Nano SIM,,Sky Blue,IPS LCD,FHD+,,Android,,Yes,GSM/LTE,,Octa Core,Triple,LED,2023,4G,,"MZB0FCMEN, 23053RN02A",Redmi 12,50+8+2MP,Redmi 12 Dual SIM Sky Blue 8GB RAM 128GB 4G - Global Version,EGP 7304.70 Inclusive of VAT,Xiaomi,4.2,"['https://f.nooncdn.com/p/v1688911944/N53414856A_1.jpg', 'https://f.nooncdn.com/p/v1688911942/N53414855A_1.jpg', 'https://f.nooncdn.com/p/v1689515174/N53414854A_1.jpg']",https://www.noon.com/egypt-en/redmi-12-dual-sim-sky-blue-8gb-ram-128gb-4g-global-version/N53414854A/p/?o=e05cb9d6ea9a551a,2 GHz,198.5 g,13,G88,"Redmi 12 NFC Mobile, Adapter, Charging Cabel Type-C, Clear Cover",Gorilla Glass,1080p,Water Resistant and Dust Resistant,Glass,168.6 mm,8.17 mm,76.28 mm,1 TB,,,,,,,,
,,,Dual SIM,,8 GB,5000 mAh,128 GB,International Version,6.6 in,Nano SIM,,Mirror Black,,,,,,,,,,,,,,,"X669D, X669C",Hot 30i,,Hot 30i Dual SIM Mirror Black 8GB RAM 128GB 4G LTE,EGP 4999.00 Inclusive of VAT,Infinix,4.2,"['https://f.nooncdn.com/p/v1688977996/N53419089A_1.jpg', 'https://f.nooncdn.com/p/pnsku/N70025239V/45/_/1700458400/dbd4ad85-2da3-40d8-8e1e-5e7c58a461a3.jpg', 'https://f.nooncdn.com/p/v1688978130/N53419086A_1.jpg']",https://www.noon.com/egypt-en/hot-30i-dual-sim-mirror-black-8gb-ram-128gb-4g-lte/N53419086A/p/?o=df0bdd5f3a7e6a2a,,,,,,,,,,,,,,,,,,,,,
,,Type-C,Dual SIM,,8 GB,5000 mAh,128 GB,Middle East Version,6.6 in,Nano SIM,,Field Green,,,,,Yes,,LTE,,,,,,4G,New,A665L,A70,,A70 Dual SIM  Field Green (3+5)GB RAM 128GB 4G - Middle East Version,EGP 3740.00 Inclusive of VAT,ITEL,4.0,[],https://www.noon.com/egypt-en/a70-dual-sim-field-green-3-5-gb-ram-128gb-4g-middle-east-version/N70100279V/p/?o=a8dc296a738c577c,,,,,,,,,,,,,,,,,,,,,
,8 MP,Type-C,Dual SIM,,6 GB,5000 mAh,128 GB,Middle East Version,6.67 in,Nano SIM,,Starlight Black,,,,,,,,,,,,,4G,,C65,C65,50+2 MP,C65 Dual SIM Starlight Black 6GB RAM 128GB 4G - Middle East Version,EGP 6590.00 Inclusive of VAT,realme,5.0,"['https://f.nooncdn.com/p/pnsku/N70076080V/45/_/1718095762/15f26d2e-5b69-4e05-bec2-194417df0256.jpg', 'https://f.nooncdn.com/p/pnsku/N70076078V/45/_/1718095762/c448cd24-e88c-421a-8676-e29b9c2cc61e.jpg']",https://www.noon.com/egypt-en/c65-dual-sim-starlight-black-6gb-ram-128gb-4g-middle-east-version/N70076080V/p/?o=b35760549f5273db,,,,,,,,,,,,,,,,Primary Camera + Secondary Camera,,,4G,,
MicroSD,2 MP,Type-C,Dual SIM,Upto 4.9 MP,4 GB,5000 mAh,64 GB,Middle East Version,6.56 in,Nano SIM,720x1600,Glowing Black,LCD,,Android 12,Android,Yes,yes,LTE,MediaTek MT Series,,Dual,LED,2022,4G,New,CPH2591,A18,8+2MP,A18 Dual SIM Glowing Black 4GB RAM 64GB 4G LTE - Middle East Version,EGP 5806.80 Inclusive of VAT,OPPO,4.4,"['https://f.nooncdn.com/p/pnsku/N70016184V/45/_/1697888530/145a93c1-dc0d-4e21-aecd-a688445accd3.jpg', 'https://f.nooncdn.com/p/pnsku/N70016185V/45/_/1697888528/9a456c68-351f-4459-a55c-1ecef21cf56d.jpg']",https://www.noon.com/egypt-en/a18-dual-sim-glowing-black-4gb-ram-64gb-4g-lte-middle-east-version/N70016184V/p/?o=a094d12ddccb940f,,,13.1,6769,,Gorilla Glass,,Dust Resistant,Plastic,,,,1 TB,,Fingerprint Scanner,,,,,,
,8 MP,Type-C,Dual SIM,8 - 11.9 MP,6 GB,5000 mAh,128 GB,Middle East Version,6.72 in,Nano SIM,,Black Rock,,,Android 14,Android,Yes,,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,,,,4G,New,C67,C67,108+2MP,C67 Dual SIM Black Rock 6GB RAM 128GB 4G - Middle East Version,EGP 7046.10 Inclusive of VAT,realme,4.6,"['https://f.nooncdn.com/p/pnsku/N70035032V/45/_/1704262007/3f5e4f7c-9d38-420e-bae9-3f4cd8d2717b.jpg', 'https://f.nooncdn.com/p/pnsku/N70035031V/45/_/1704262000/9d5b59c9-1858-4e2c-836f-a21f9d08f46c.jpg']",https://www.noon.com/egypt-en/c67-dual-sim-black-rock-6gb-ram-128gb-4g-middle-east-version/N70035032V/p/?o=ba70e0e054d6871b,,,,Snapdragon 685,,,,,,,,,,,,,,,,,
,5 MP,Type-C,Dual SIM,5 - 7.9 MP,3 GB,5000 mAh,64 GB,Middle East Version,6.74 in,Nano SIM,,Sky Blue,IPS LCD,,Android 13,Android,Yes,Yes,GSM/LTE/UMTS,Unisoc,Octa Core,Single,,2024,4G,New,RMX3834,realme Note 50,13,Note 50 Dual SIM Sky Blue 3GB RAM 64GB 4G - Middle East Version,EGP 4699.00 Inclusive of VAT,realme,4.5,"['https://f.nooncdn.com/p/pnsku/N70060366V/45/_/1712129474/1e28d30d-7f24-4bc7-9b19-338b20d1c531.jpg', 'https://f.nooncdn.com/p/pnsku/N70060365V/45/_/1712129474/b0c2f992-3754-4892-91b5-b86d4d384ef2.jpg']",https://www.noon.com/egypt-en/note-50-dual-sim-sky-blue-3gb-ram-64gb-4g-middle-east-version/N70060365V/p/?o=d0ccf51de1eda88c,,186 g,Realme UI T,T612,"Handset,Adapter,USB cable,Quick guide,Warranty card",,,,,167.2 mm,8 mm,76.7 mm,,,"Accelerometer, Proximity Sensors, Fingerprint Scanner",,,,,,
,16 MP,Type-C,Dual SIM,16 - 31.9 MP,12 GB,5000 mAh,512 GB,International Version,6.67 in,Nano SIM,1080x2400,Navigator Beige,AMOLED,,Android 14,Android,Yes,Yes,GSM/LTE/UMTS,MediaTek Dimensity,Octa Core,Triple,,2024,5G,New,RMX3867,realme 12+ 5G,50+8+2M,12+ 5G Dual SIM Navigator Beige 12GB RAM 512GB - International Version,EGP 15045.00 Inclusive of VAT,realme,4.5,"['https://f.nooncdn.com/p/pnsku/N70059181V/45/_/1711695652/3f3d4b9f-227c-4263-9dd0-a792c8ff25dc.jpg', 'https://f.nooncdn.com/p/pnsku/N70059180V/45/_/1711695650/7e5d05ff-d0ac-4953-8e21-915aa3feb4ec.jpg']",https://www.noon.com/egypt-en/12-5g-dual-sim-navigator-beige-12gb-ram-512gb-international-version/N70059181V/p/?o=e29d63205506938a,,190 g,Realme UI 5.0,7050,"Handset,Adapter,USB cable,Quick guide,Warranty card",,,,,163 mm,7.9 mm,75.5 mm,,,"Accelerometer, gyroscope, Proximity Sensors",,,,,,
,5 MP,Type-C,Dual SIM,5 - 7.9 MP,4 GB,5000 mAh,128 GB,Middle East Version,6.7 in,Nano SIM,,Mint Green,,,,,Yes,,LTE,,,,,,4G,New,RMX3830,C51,50MP,C51 Dual SIM Mint Green 4GB RAM 128GB 4G LTE - Middle East Version,EGP 5230.00 Inclusive of VAT,realme,4.2,"['https://f.nooncdn.com/p/pnsku/N70000705V/45/_/1695069639/9658fd15-fc32-4e74-9454-aefd6236d07d.jpg', 'https://f.nooncdn.com/p/pnsku/N70000706V/45/_/1695070223/78189c15-6eb1-4824-a793-34673b675fe4.jpg']",https://www.noon.com/egypt-en/c51-dual-sim-mint-green-4gb-ram-128gb-4g-lte-middle-east-version/N70000706V/p/?o=d58d8cc3914ed31b,,,,,,,,,,,,,,,,,,,,,
MicroSD,8 MP,Type-C,Dual SIM,8 - 11.9 MP,6 GB,5000 mAh,128 GB,Middle East Version,6.74 in,Nano SIM,1080x2408,Champion Gold,IPS LCD,FHD+,,Android,,Yes,LTE,,Single Core,Triple,LED,2023,4G,New,RMX3760,C53,50MP,C53 Dual SIM Champion Gold 6GB 128GB 4G - Middle East Version,EGP 6085.00 Inclusive of VAT,realme,4.3,"['https://f.nooncdn.com/p/v1689922756/N53407978A_1.jpg', 'https://f.nooncdn.com/p/v1689922755/N53407977A_1.jpg']",https://www.noon.com/egypt-en/c53-dual-sim-champion-gold-6gb-128gb-4g-middle-east-version/N53407978A/p/?o=fe36711f5ddb40fe,1.82 GHz,182 g,13,T612,,,1080p,,,167.26 mm,76.67 mm,7.49 mm,1 TB,,,,,,,,
,,,Dual SIM,,4 GB,5000 mAh,128 GB,Middle East Version,6.74 in,Nano SIM,,Navy Blue,,,,,,,,,,,,,,New,"23100RN82L, 23106RN0DA",Redmi 13C,,Redmi 13C Dual SIM Navy Blue 4GB RAM 128GB 4G,EGP 5831.50 Inclusive of VAT,Xiaomi,4.2,"['https://f.nooncdn.com/p/pnsku/N70040314V/45/_/1705987883/a26eb183-4b99-4f50-9677-fd50205c59c4.jpg', 'https://f.nooncdn.com/p/pnsku/N70055566V/45/_/1710579868/b7d05f96-1b29-4e7b-b3a7-892e9f71d0fb.jpg', 'https://f.nooncdn.com/p/pnsku/N70031437V/45/_/1710416719/71555f65-9cdf-4b6b-8bb7-338aac6882b3.jpg', 'https://f.nooncdn.com/p/pnsku/N70040316V/45/_/1705987877/026b1316-0fca-4b64-b139-7322dd0a2980.jpg']",https://www.noon.com/egypt-en/redmi-13c-dual-sim-navy-blue-4gb-ram-128gb-4g/N70040316V/p/?o=ae29fb236404000c,,,,,,,,,,,,,,,,,,,,,
MicroSD,32 MP,Type-C,Dual SIM,32 MP & Above,12 GB,5500 mAh,256 GB,International Version,6.78 in,Nano SIM,2700 x 1228,Fluid Silver,AMOLED,,,Android,Yes,Yes,GSM/LTE/UMTS,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,RMX3851,realme GT6,50+50+8 mp,GT6 5G Dual SIM Fluid Silver 12GB RAM 256GB 5G - International Version,EGP 25550.00 Inclusive of VAT,realme,4.5,"['https://f.nooncdn.com/p/pnsku/N70087084V/45/_/1719398395/b12ffcb5-c159-48ee-9242-de446da56bad.jpg', 'https://f.nooncdn.com/p/pnsku/N70087083V/45/_/1719398325/726dd5b1-805c-4c18-8fb5-5066f30d7e7e.jpg']",https://www.noon.com/egypt-en/gt6-5g-dual-sim-fluid-silver-12gb-ram-256gb-5g-international-version/N70087084V/p/?o=fe4fd63c56f641de,,191 g,Realme UI 5.0,8s Gen 3,"Handset,Adapter,USB cable,Quick guide,Warranty card",,,,,162 mm,8.6 mm,75.1 mm,,120Hz,"Accelerometer, proximity_sensors, fingerprint_scanner",,,,,,
,,,Dual SIM,,4 GB,5000 mAh,64 GB,International Version,6.5 in,Nano SIM,,GEM GREEN,,,Android 14,,,,,,,Dual,,,4G,New,Y03,Y03- Green,,"Y03 Dual SIM, 64GB, 4GB RAM, 4G LTE - GEM GREEN",EGP 4575.00 Inclusive of VAT,vivo,5.0,[],https://www.noon.com/egypt-en/y03-dual-sim-64gb-4gb-ram-4g-lte-gem-green/N70092314V/p/?o=f93d0980d012bf0d,,,,,,,,,,,,,,,,,,,,,
No Expandable Memory,12 MP,Type-C,Dual SIM,12 - 15.9 MP,12 GB,4000 mAh,256 GB,Middle East Version,6.4 in,Nano SIM,1812x2176,Blue,AMOLED,FHD+,Android 14,Android,Yes,,GSM/LTE,Qualcomm Snapdragon,Octa Core,Triple,LED,2024,5G,New,SM-F741BLBAMEA,Flip 6,12 MP + 12 MP + 12,Galaxy Z Flip 6 Single SIM + eSIM Blue 12GB RAM 256GB 5G - Middle East Version,EGP 39981.60 Inclusive of VAT,Samsung,4.2,"['https://f.nooncdn.com/p/pnsku/N70085226V/45/_/1723174170/00f69892-813e-465c-851b-1e981bb05561.jpg', 'https://f.nooncdn.com/p/pnsku/N70085222V/45/_/1721894902/aaee9d11-c9b1-46ed-aa8c-6a6d0f9b4b6d.jpg', 'https://f.nooncdn.com/p/pnsku/N70085223V/45/_/1721894964/ed35b597-ce6a-47b7-a1a6-1b7d34748e03.jpg', 'https://f.nooncdn.com/p/pnsku/N70085227V/45/_/1723174173/72e4da28-0e9a-43ac-9e6a-dea2740a3440.jpg', 'https://f.nooncdn.com/p/pnsku/N70085224V/45/_/1721894952/91270228-e30b-484e-ae2a-3e746b194bb2.jpg', 'https://f.nooncdn.com/p/pnsku/N70085228V/45/_/1723174188/8453c2d3-2f36-43da-9a10-72802ded394d.jpg', 'https://f.nooncdn.com/p/pnsku/N70085225V/45/_/1721894943/563a789a-a04d-411d-a7e1-9559eab86e2a.jpg']",https://www.noon.com/egypt-en/galaxy-z-flip-6-single-sim-esim-blue-12gb-ram-256gb-5g-middle-east-version/N70085222V/p/?o=e1e2ac90730c3a4d,,,,,,,,,,,,,,,,,,,,,
,13 MP,,Dual SIM,12 - 15.9 MP,6 GB,5000 mAh,128 GB,Middle East Version,6.5 in,Nano SIM,,Light Blue,,,,,,,,,,,,,,New,SM-A256ELBDMEA,Galaxy A25,50+8+2 MP,Galaxy A25 Dual SIM Light Blue 6GB RAM 128GB 5G - Middle East Version,EGP 9499.00 Inclusive of VAT,Samsung,4.5,[],https://www.noon.com/egypt-en/galaxy-a25-dual-sim-light-blue-6gb-ram-128gb-5g-middle-east-version/N70029339V/p/?o=c17d623b460ca75c,,,,,,,,,,,,,,,,,,,,,
